iter	Logloss
0	0.3282782041
1	0.1791728524
2	0.1017460757
3	0.05139167018
4	0.03757453796
5	0.02344322386
6	0.01627797879
7	0.01474430952
8	0.01370355311
9	0.01165970378
10	0.009676047494
11	0.009326535473
12	0.008645868209
13	0.007787525899
14	0.007352989799
